brand_name,Price,discount,image_url,Reviews_rating,Reviews_count
Câble D'imprimante USB 2.0 - Noir,1200,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/747631/1.jpg?1140,4.1,128
SEAGATE Disque Dur Externe 500 Go Seagate USB 3.0- Expansion - Noir,14500,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/729852/1.jpg?9658,4.0,147
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/696821/1.jpg?7870,4.2,359
JIYUE JIYUE Flash Drive 3.0 64GB Metal OTG Micro USB Type-C,2350,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/718692/1.jpg?4574,3.6,166
Kit Recharge D'Encre Compatible Canon G2400/2410/3400/3410 - 490 - Noi...,9975,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/544713/1.jpg?4516,3.8,21
Répéteur Amplificateur De Signal WiFi - 2 Ports Rj45 Ethernet Avec WPS...,6300,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/394382/1.jpg?3561,4.0,54
Support Métallique Portable Pliable Avec Ventilateur Détachable Pour O...,3402,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/983992/1.jpg?0306,3.9,89
GUEETON 128 Go Clé USB OTG Stylo à bille NOIR avec 4 recharges de rech...,2665,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/695991/1.jpg?0921,3.8,112
"Hp Laptop Intel Celeron - 4Go RAM - 512Go SSD - 15.6"" - Win11 - Gris",169000,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/538692/1.jpg?1447,4.0,35
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/082652/1.jpg?1165,4.2,94
GUEETON Support Pour Ordinateur Portable - Gris,1850,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/247791/1.jpg?1044,4.2,339
Mini Imprimante Thermique Portable BT Sans Fil,7990,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/260972/1.jpg?5608,3.9,88
GtyGo 2 pcs Souris Filaire USB Optique 1000 DPI Précision Plug Play,1580,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/354403/1.jpg?8506,3.9,15
"GtyGo Clé USB OTG 512 Go USB3.0 Adaptateur Type C, 3 unités dans 1 ens...",5796,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/882613/1.jpg?7068,3.9,16
Clé Usb - 128Go Clé Usb,3600,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/971403/1.jpg?0719,4.0,9
Adaptateur USB 2.0 - 4 Ports - Noir,1560,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/642972/1.jpg?6320,3.8,89
"Répéteur WiFi Sans Fil - 300Mbps 2,4 GHz - Blanc",6174,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/009772/1.jpg?3454,3.8,139
Souris Sans Fil Rechargeable LED 2.4G,1690,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/416012/1.jpg?0984,4.1,864
Répéteur De Routage Sans Fil De L'amplificateur De Signal Wifi 5G De 3...,10248,5%,https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/039772/1.jpg?7929,3.8,74
