Brand_name,Price,Discount,Reviews,Image
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 4 Ports USB 3.0,1950,5%,3.7 out of 5(126),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/742972/1.jpg?2005
Tapis Souris Avec Pose Poignet Doux Et Confortable En Mousse,1240,5%,4 out of 5(66),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/524652/1.jpg?7437
Casque Bluetooth Sans Fil Casque antibruit avec batterie 650 mAh,7700,5%,4.1 out of 5(100),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/052872/1.jpg?0232
Toshiba Disque Dur Externe - 500 Go USB 3.0- Noir De Haute Qualité,14500,5%,3.9 out of 5(129),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/761952/1.jpg?9849
Lumineuse Souris Sans Fil - 2.4G - Noir-DR-SHUBIAO-03,1625,5%,4.2 out of 5(302),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/412291/1.jpg?5161
Lenovo V15 G2 IJL Ordinateur portable 4GB / 256 SSD / Celeron,130000,5%,4 out of 5(3),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/109713/1.jpg?6307
ANTHO Clavier USB Filaire - Antho13 - Francais - Azerty - Alphanumériq...,4600,5%,3.9 out of 5(48),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/968303/1.jpg?1107
Adaptateur mini WiFi USB - Récepteur WiFi réseau sans fil USB Ethernet...,2335,5%,4.1 out of 5(420),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/055422/1.jpg?5225
UWY Clé USB 128GB & Spéciaux Clé USB TV 16G,4312,5%,3.6 out of 5(439),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/551912/1.jpg?7177
Sans Fil Bluetooth Clavier Applicable Téléphone Tablette - Version A-Z...,3120,5%,3.8 out of 5(108),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/029662/1.jpg?9725
Souris LED colorée 2.4G rechargeable - Noir,1750,5%,3.5 out of 5(12),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/076213/1.jpg?2210
