brand_name,Price,discount,Reviews,image_url,Reviews_rating,Reviews_count
POHB Carte Mémoire Ultra MicroSD 106Mb/s 128GB + Adaptateur Gratuit,8113.0,5%,4.3 out of 5(61),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/324103/1.jpg?6516,4.3,61.0
Hub -Type-C 3.0 USB - HDMI Adaptateur,3430.0,5%,4.2 out of 5(193),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/057872/1.jpg?3318,4.2,193.0
EAGEAT Clé USB 64 Go Métal OTG Micro USB Type-C,2079.0,5%,3.7 out of 5(112),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/124692/1.jpg?6173,3.7,112.0
Répéteur Amplificateur De Signal WiFi Nouvelle Version Avec WPS 300Mbp...,6400.0,5%,3.7 out of 5(50),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/122482/1.jpg?4345,3.7,50.0
Support D'ordinateur Portable,1651.0,5%,3.9 out of 5(88),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/642972/1.jpg?6619,3.9,88.0
"GUEETON Stylo à bille avec clé USB OTG de 128 Go, blanc, avec 4 rechar...",2880.0,5%,3.7 out of 5(306),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/020212/1.jpg?4178,3.7,306.0
Table pliable - table de lit pliable - bureau d ordinateur - Table de ...,6500.0,5%,4 out of 5(57),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/183992/1.jpg?7513,4.0,57.0
Câble D'imprimante USB 2.0 - Noir,1200.0,5%,4.1 out of 5(128),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/747631/1.jpg?1140,4.1,128.0
SEAGATE Disque Dur Externe 500 Go Seagate USB 3.0- Expansion - Noir,14500.0,5%,4 out of 5(147),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/729852/1.jpg?9658,4.0,147.0
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100.0,5%,4.2 out of 5(359),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/696821/1.jpg?7870,4.2,359.0
JIYUE JIYUE Flash Drive 3.0 64GB Metal OTG Micro USB Type-C,2350.0,5%,3.6 out of 5(166),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/718692/1.jpg?4574,3.6,166.0
Kit Recharge D'Encre Compatible Canon G2400/2410/3400/3410 - 490 - Noi...,9975.0,5%,3.8 out of 5(21),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/544713/1.jpg?4516,3.8,21.0
Répéteur Amplificateur De Signal WiFi - 2 Ports Rj45 Ethernet Avec WPS...,6300.0,5%,4 out of 5(54),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/394382/1.jpg?3561,4.0,54.0
Support Métallique Portable Pliable Avec Ventilateur Détachable Pour O...,3402.0,5%,3.9 out of 5(89),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/983992/1.jpg?0306,3.9,89.0
GUEETON 128 Go Clé USB OTG Stylo à bille NOIR avec 4 recharges de rech...,2665.0,5%,3.8 out of 5(112),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/695991/1.jpg?0921,3.8,112.0
"Hp Laptop Intel Celeron - 4Go RAM - 512Go SSD - 15.6"" - Win11 - Gris",169000.0,5%,4 out of 5(35),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/538692/1.jpg?1447,4.0,35.0
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100.0,5%,4.2 out of 5(94),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/082652/1.jpg?1165,4.2,94.0
GUEETON Support Pour Ordinateur Portable - Gris,1850.0,5%,4.2 out of 5(339),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/247791/1.jpg?1044,4.2,339.0
Mini Imprimante Thermique Portable BT Sans Fil,7990.0,5%,3.9 out of 5(88),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/260972/1.jpg?5608,3.9,88.0
GtyGo 2 pcs Souris Filaire USB Optique 1000 DPI Précision Plug Play,1580.0,5%,3.9 out of 5(15),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/354403/1.jpg?8506,3.9,15.0
"GtyGo Clé USB OTG 512 Go USB3.0 Adaptateur Type C, 3 unités dans 1 ens...",5796.0,5%,3.9 out of 5(16),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/882613/1.jpg?7068,3.9,16.0
Clé Usb - 128Go Clé Usb,3600.0,5%,4 out of 5(9),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/971403/1.jpg?0719,4.0,9.0
Adaptateur USB 2.0 - 4 Ports - Noir,1560.0,5%,3.8 out of 5(89),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/642972/1.jpg?6320,3.8,89.0
"Répéteur WiFi Sans Fil - 300Mbps 2,4 GHz - Blanc",6174.0,5%,3.8 out of 5(139),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/009772/1.jpg?3454,3.8,139.0
Souris Sans Fil Rechargeable LED 2.4G,1690.0,5%,4.1 out of 5(864),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/416012/1.jpg?0984,4.1,864.0
Répéteur De Routage Sans Fil De L'amplificateur De Signal Wifi 5G De 3...,10248.0,5%,3.8 out of 5(74),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/039772/1.jpg?7929,3.8,74.0
JIYUE JIYUE Flash Drive 3.0 128GB Metal OTG Micro USB Type-C,2296.0,5%,3.4 out of 5(185),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/818692/1.jpg?1412,3.4,185.0
Canon Cartouche D'entretien MC-G02 Pour Canon PIXMA G3560 G3520 G2560 ...,7100.0,5%,4 out of 5(100),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/845772/1.jpg?2385,4.0,100.0
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 4 Ports USB 3.0,1950.0,5%,3.7 out of 5(126),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/742972/1.jpg?2005,3.7,126.0
Tapis Souris Avec Pose Poignet Doux Et Confortable En Mousse,1240.0,5%,4 out of 5(66),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/524652/1.jpg?7437,4.0,66.0
Casque Bluetooth Sans Fil Casque antibruit avec batterie 650 mAh,7700.0,5%,4.1 out of 5(100),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/052872/1.jpg?0232,4.1,100.0
Toshiba Disque Dur Externe - 500 Go USB 3.0- Noir De Haute Qualité,14500.0,5%,3.9 out of 5(129),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/761952/1.jpg?9849,3.9,129.0
Lumineuse Souris Sans Fil - 2.4G - Noir-DR-SHUBIAO-03,1625.0,5%,4.2 out of 5(302),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/412291/1.jpg?5161,4.2,302.0
Lenovo V15 G2 IJL Ordinateur portable 4GB / 256 SSD / Celeron,130000.0,5%,4 out of 5(3),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/109713/1.jpg?6307,4.0,3.0
